mongo,262,170715.000000
dplyr,19,160667.000000
node,65,154408.000000
cassandra,530,154124.000000
watson,31,152844.000000
rshiny,29,151611.000000
hugging face,37,148648.000000
neo4j,123,147708.000000
scala,1911,145138.000000
kafka,1641,144775.000000
pytorch,1081,144470.000000
mxnet,50,143695.000000
theano,37,143404.000000
shell,731,143370.000000
golang,109,143139.000000
airflow,1506,142386.000000
tensorflow,1225,142370.000000
spark,4023,141736.000000
redshift,1520,140792.000000
airtable,22,140615.000000
ruby on rails,18,140130.000000
scikit-learn,688,139603.000000
dynamodb,220,139548.000000
rust,71,139349.000000
clojure,12,139342.000000
